TIME,MODE,SPEED,TEMPERATURE,HUMIDITY,PREDICTED VALUE,REAL VALUE
16:20:50,LCD,1,32,86,6968,6968
16:20:51,LCD,1,32,86,7616,7616
16:20:52,LCD,1,32,86,961,961
16:20:53,LCD,1,32,86,6986,6986
16:20:54,LCD,1,32,86,7709,7709
16:20:55,LCD,1,32,86,4388,4388
16:20:56,LCD,1,32,86,6205,6205
16:20:58,LCD,1,32,86,3740,3740
16:20:59,LCD,1,32,86,1912,1912
16:21:00,LCD,1,32,86,5723,5723
16:21:01,LCD,1,32,86,3141,3141
16:21:02,LCD,1,32,86,9074,9074
16:21:03,LCD,1,32,86,203,203
16:21:04,LCD,1,32,86,152,152
16:21:05,LCD,1,32,86,9436,9436
16:21:06,LCD,1,32,86,5308,5308
16:21:07,LCD,1,32,86,6910,6910
16:21:08,LCD,1,32,86,3862,3862
16:21:09,LCD,1,32,86,6874,6074
16:21:10,LCD,1,32,86,4758,4758
16:21:11,LCD,1,32,86,2977,2977
16:21:12,LCD,1,32,86,430,430
16:21:14,LCD,1,32,86,2488,2488
16:21:15,LCD,1,32,86,9746,9746
16:21:16,LCD,1,32,86,5146,5146
16:21:17,LCD,1,32,86,3090,3090
16:21:18,LCD,1,32,86,8269,8269
16:21:19,LCD,1,32,86,1230,1230
16:21:20,LCD,1,32,86,684,684
16:21:21,LCD,1,32,86,3048,3048
16:21:22,LCD,1,32,86,9862,9862
16:21:23,LCD,1,32,86,8410,8410
16:21:24,LCD,1,32,86,5584,5584
16:21:25,LCD,1,32,86,2409,2409
16:21:26,LCD,1,32,86,1742,1742
16:21:28,LCD,1,32,86,5884,5884
16:21:29,LCD,1,32,86,8473,8473
16:21:30,LCD,1,32,86,4199,4199
16:21:31,LCD,1,32,86,3433,3433
16:21:32,LCD,1,32,86,7952,7952
16:21:33,LCD,1,32,86,4408,4408
16:21:34,LCD,1,32,86,7051,7051
16:21:35,LCD,1,32,86,5886,5886
16:21:36,LCD,1,32,86,8076,8076
16:21:38,LCD,1,32,85,2736,2736
16:21:39,LCD,1,32,85,9401,9401
16:21:40,LCD,1,32,85,2323,2323
16:21:41,LCD,1,32,85,4732,4732
16:21:42,LCD,1,32,85,2096,2096
16:21:44,LCD,1,32,85,9087,9087
16:21:45,LCD,1,32,85,4782,4782
16:21:46,LCD,1,32,85,4646,4646
16:21:47,LCD,1,32,85,9109,9109
16:21:48,LCD,1,32,85,1997,1997
16:21:49,LCD,1,32,85,5580,5580
16:21:50,LCD,1,32,85,9904,9904
16:21:51,LCD,1,32,85,2582,2582
16:21:52,LCD,1,32,85,7539,7539
16:21:53,LCD,1,32,85,852,852
16:21:54,LCD,1,32,85,8334,8334
16:21:55,LCD,1,32,85,2631,2631
16:21:56,LCD,1,32,85,4403,4403
16:21:57,LCD,1,32,85,4231,4231
16:21:59,LCD,1,32,85,1585,1585
16:22:00,LCD,1,32,85,8724,8724
16:22:01,LCD,1,32,85,5166,5166
16:22:02,LCD,1,32,85,2531,2531
16:22:03,LCD,1,32,85,2471,2471
16:22:04,LCD,1,32,85,4800,4800
16:22:05,LCD,1,32,85,5762,5762
16:22:06,LCD,1,32,85,8198,8198
16:22:07,LCD,1,32,85,7162,7162
16:22:08,LCD,1,32,85,4950,4950
16:22:09,LCD,1,32,85,1228,1228
16:22:10,LCD,1,32,85,6489,6489
16:22:11,LCD,1,32,85,582,582
16:22:12,LCD,1,32,85,9940,9940
16:22:14,LCD,1,32,85,4678,4678
16:22:15,LCD,1,32,85,3296,3296
16:22:16,LCD,1,32,85,3858,3858
16:22:17,LCD,1,32,85,4481,4481
16:22:18,LCD,1,32,85,9827,9827
16:22:19,LCD,1,32,85,5890,5890
16:22:20,LCD,1,32,85,7473,7473
16:22:21,LCD,1,32,85,7311,7311
16:22:22,LCD,1,32,85,4455,4455
16:22:23,LCD,1,32,85,4162,4162
16:22:24,LCD,1,32,85,4497,4497
16:22:25,LCD,1,32,85,419,419
16:22:26,LCD,1,32,85,6979,6979
16:22:27,LCD,1,32,85,3936,3936
16:22:29,LCD,1,32,85,9850,9850
16:22:30,LCD,1,32,85,6274,6274
16:22:31,LCD,1,32,85,849,849
16:22:32,LCD,1,32,85,6989,6989
16:22:33,LCD,1,32,85,5337,5337
16:22:34,LCD,1,32,85,3311,3311
16:22:35,LCD,1,32,85,7366,7366
16:22:36,LCD,1,32,85,5292,5292
