TIME,MODE,SPEED,VALUE,TEMPERATURE,HUMIDITY
09:58:17,LCD,1,3,30,95
09:58:18,LCD,1,462,30,95
09:58:19,LCD,1,683,30,95
10:09:09,LCD,1,4444,30,98
10:09:09,LCD,1,4448,30,98
10:09:09,LCD,1,4444,30,98
10:09:09,LCD,1,4444,30,98
10:09:09,LCD,1,260,30,98
10:09:10,LCD,1,724,30,98
10:09:12,LCD,1,6544,30,98
10:09:13,LCD,1,965,30,98
10:09:14,LCD,1,8447,30,98
10:09:15,LCD,1,760,30,98
10:09:16,LCD,1,786,30,98
10:09:17,LCD,1,188,30,98
10:09:18,LCD,1,021,30,98
10:09:19,LCD,1,199,30,98
10:09:20,LCD,1,223,30,98
10:09:21,LCD,1,2447,30,98
10:09:22,LCD,1,4495,30,98
10:09:23,LCD,1,214,30,98
10:09:24,LCD,1,997,30,98
10:09:25,LCD,1,608,30,98
10:09:27,LCD,1,632,30,98
10:09:28,LCD,1,786,30,98
10:09:29,LCD,1,160,30,98
10:09:30,LCD,1,976,30,98
10:09:31,LCD,1,257,30,98
10:09:32,LCD,1,0644,30,98
10:09:33,LCD,1,658,30,98
10:09:34,LCD,1,183,30,98
10:09:35,LCD,1,6440,30,98
10:09:36,LCD,1,098,30,98
10:09:37,LCD,1,329,30,98
10:09:38,LCD,1,4465,30,98
10:09:39,LCD,1,4491,30,98
10:09:40,LCD,1,539,30,98
10:09:42,LCD,1,966,30,98
10:09:43,LCD,1,110,30,98
10:09:44,LCD,1,5544,30,98
10:09:45,LCD,1,8144,30,98
10:09:46,LCD,1,432,30,98
10:09:47,LCD,1,795,30,98
10:09:48,LCD,1,998,30,98
10:09:49,LCD,1,209,30,98
10:09:50,LCD,1,383,30,98
10:09:51,LCD,1,229,30,98
10:09:52,LCD,1,390,30,98
10:09:53,LCD,1,0710,30,98
10:09:54,LCD,1,1442,30,98
10:09:55,LCD,1,4544,30,98
10:09:57,LCD,1,563,30,98
10:09:58,LCD,1,052,30,98
10:09:59,LCD,1,4444,30,98
10:10:00,LCD,1,330,30,98
10:10:01,LCD,1,3044,30,98
10:10:02,LCD,1,237,30,98
10:10:03,LCD,1,329,30,98
10:10:04,LCD,1,628,30,98
10:10:06,LCD,1,196,30,95
10:10:07,LCD,1,5044,30,95
10:10:08,LCD,1,228,30,95
10:10:09,LCD,1,902,30,95
10:10:10,LCD,1,9449,30,95
10:10:11,LCD,1,724,30,95
10:10:13,LCD,1,808,30,95
10:10:14,LCD,1,2444,30,95
10:10:15,LCD,1,522,30,95
10:10:16,LCD,1,508,30,95
10:10:17,LCD,1,579,30,95
10:10:18,LCD,1,917,30,95
10:10:19,LCD,1,179,30,95
10:10:20,LCD,1,571,30,95
10:10:21,LCD,1,560,30,95
10:10:22,LCD,1,858,30,95
10:10:23,LCD,1,155,30,95
10:10:24,LCD,1,386,30,95
10:10:25,LCD,1,944,30,95
10:10:27,LCD,1,9044,30,95
10:10:28,LCD,1,727,30,95
10:10:29,LCD,1,998,30,95
10:10:30,LCD,1,009,30,95
10:10:31,LCD,1,625,30,95
10:10:32,LCD,1,361,30,95
10:10:33,LCD,1,776,30,95
10:10:34,LCD,1,83,30,95
10:10:35,LCD,1,269,30,95
10:10:36,LCD,1,920,30,95
10:10:37,LCD,1,738,30,95
10:10:38,LCD,1,088,30,95
10:10:39,LCD,1,937,30,95
10:10:40,LCD,1,799,30,95
10:10:41,LCD,1,7444,30,95
10:10:43,LCD,1,257,30,95
10:10:44,LCD,1,188,30,95
10:10:45,LCD,1,370,30,95
10:10:46,LCD,1,577,30,95
10:10:47,LCD,1,821,30,95
10:10:48,LCD,1,676,30,95
10:10:49,LCD,1,057,30,95
10:10:50,LCD,1,189,30,95
10:10:51,LCD,1,018,30,95
10:10:52,LCD,1,7344,30,95
10:10:53,LCD,1,4490,30,95
10:10:54,LCD,1,2944,30,95
10:10:55,LCD,1,198,30,95
10:10:56,LCD,1,4478,30,95
10:10:58,LCD,1,453,30,95
10:10:59,LCD,1,818,30,95
10:11:00,LCD,1,4460,30,95
10:11:01,LCD,1,600,30,95
10:11:02,LCD,1,899,30,95
10:11:03,LCD,1,4461,30,95
10:11:04,LCD,1,633,30,95
10:11:05,LCD,1,469,30,95
10:11:07,LCD,1,152,30,95
10:11:08,LCD,1,811,30,95
10:11:09,LCD,1,598,30,95
10:11:10,LCD,1,96,30,95
10:11:11,LCD,1,770,30,95
10:11:13,LCD,1,261,30,95
10:11:14,LCD,1,156,30,95
10:11:15,LCD,1,150,30,95
10:11:16,LCD,1,659,30,95
10:11:17,LCD,1,733,30,95
10:11:18,LCD,1,4452,30,95
10:11:19,LCD,1,0445,30,95
10:11:20,LCD,1,807,30,95
10:11:21,LCD,1,778,30,95
10:11:22,LCD,1,839,30,95
10:11:23,LCD,1,758,30,95
10:11:24,LCD,1,580,30,95
10:11:25,LCD,1,537,30,95
10:11:26,LCD,1,908,30,95
10:11:28,LCD,1,880,30,95
10:11:29,LCD,1,157,30,95
10:11:30,LCD,1,326,30,95
10:11:31,LCD,1,579,30,95
10:11:32,LCD,1,772,30,95
10:11:33,LCD,1,855,30,95
10:11:34,LCD,1,259,30,95
10:11:35,LCD,1,835,30,95
10:11:36,LCD,1,200,30,95
10:11:37,LCD,1,710,30,95
10:11:38,LCD,1,300,30,95
10:11:39,LCD,1,8244,30,95
10:11:40,LCD,1,680,30,95
10:11:42,LCD,1,760,30,95
10:11:43,LCD,1,875,30,95
10:11:44,LCD,1,4435,30,95
10:11:45,LCD,1,733,30,95
10:11:46,LCD,1,155,30,95
10:11:47,LCD,1,4444,30,95
10:11:48,LCD,1,710,30,95
10:11:49,LCD,1,277,30,95
10:11:50,LCD,1,000,30,95
10:11:51,LCD,1,865,30,95
10:11:52,LCD,1,753,30,95
10:11:53,LCD,1,5441,30,95
10:11:54,LCD,1,7445,30,95
10:11:55,LCD,1,528,30,95
10:11:56,LCD,1,051,30,95
10:11:58,LCD,1,4475,30,95
10:11:59,LCD,1,568,30,95
10:12:00,LCD,1,252,30,95
10:12:01,LCD,1,836,30,95
10:12:02,LCD,1,4462,30,95
10:12:03,LCD,1,683,30,95
10:12:04,LCD,1,110,30,95
10:12:05,LCD,1,870,30,95
10:12:06,LCD,1,3446,30,95
10:12:08,LCD,1,390,30,95
10:12:09,LCD,1,316,30,95
10:12:10,LCD,1,714,30,95
10:12:11,LCD,1,806,30,95
10:12:13,LCD,1,592,30,95
10:12:14,LCD,1,765,30,95
10:12:15,LCD,1,7443,30,95
10:12:16,LCD,1,560,30,95
10:12:17,LCD,1,223,30,95
10:12:18,LCD,1,951,30,95
10:12:19,LCD,1,667,30,95
10:12:20,LCD,1,307,30,95
10:12:21,LCD,1,8344,30,95
10:12:22,LCD,1,075,30,95
10:12:23,LCD,1,377,30,95
10:12:24,LCD,1,908,30,95
10:12:25,LCD,1,9244,30,95
10:12:26,LCD,1,275,30,95
10:12:28,LCD,1,6344,30,95
10:12:29,LCD,1,925,30,95
10:12:30,LCD,1,015,30,95
10:12:31,LCD,1,9644,30,95
10:12:32,LCD,1,227,30,95
10:12:33,LCD,1,093,30,95
10:12:34,LCD,1,201,30,95
10:12:35,LCD,1,629,30,95
10:12:36,LCD,1,197,30,95
10:12:37,LCD,1,168,30,95
10:12:38,LCD,1,891,30,95
10:12:39,LCD,1,290,30,95
