TIME,MODE,SPEED,VALUE,TEMPERATURE,HUMIDITY
21:15:44,LCD,1,4,29,98
21:15:44,LCD,1,4,29,98
21:15:44,LCD,1,4,29,98
21:15:44,LCD,1,4,29,98
21:15:44,LCD,1,4,29,98
21:15:44,LCD,1,4,29,98
21:15:45,LCD,1,4,29,98
21:15:47,LCD,1,4,29,98
21:15:48,LCD,1,4,29,98
21:15:49,LCD,1,4,29,98
21:15:50,LCD,1,4,29,98
21:15:51,LCD,1,4,29,98
21:16:06,LCD,1,9950,30,98
21:16:06,LCD,1,9950,30,98
21:16:06,LCD,1,6182,30,98
21:16:07,LCD,1,6182,30,98
21:16:07,LCD,1,6182,30,98
21:16:08,LCD,1,2756,30,98
21:16:09,LCD,1,7438,30,98
21:16:10,LCD,1,3734,30,98
21:16:11,LCD,1,7158,30,98
21:16:12,LCD,1,3142,30,98
21:16:13,LCD,1,9748,30,98
21:16:14,LCD,1,5668,30,98
21:16:15,LCD,1,3044,30,98
21:16:17,LCD,1,5359,30,98
21:16:18,LCD,1,2892,30,98
21:16:19,LCD,1,1760,30,98
21:16:20,LCD,1,441,30,98
21:16:21,LCD,1,9818,30,98
21:16:22,LCD,1,9606,30,98
21:16:23,LCD,1,3034,30,98
21:16:24,LCD,1,2017,30,98
21:16:25,LCD,1,2890,30,98
21:16:26,LCD,1,9156,30,98
21:16:27,LCD,1,6814,30,98
21:16:28,LCD,1,4652,30,98
21:16:29,LCD,1,9174,30,98
21:16:30,LCD,1,1200,30,98
21:16:32,LCD,1,106,30,98
21:16:33,LCD,1,7906,30,98
21:16:34,LCD,1,4127,30,98
21:16:35,LCD,1,3594,30,98
21:16:36,LCD,1,8238,30,98
21:16:37,LCD,1,6298,30,98
21:16:38,LCD,1,7065,30,98
21:16:39,LCD,1,1335,30,98
21:16:40,LCD,1,6398,30,98
21:16:41,LCD,1,9249,30,98
21:16:42,LCD,1,6050,30,98
21:16:43,LCD,1,7,30,98
21:16:44,LCD,1,121,30,98
21:16:46,LCD,1,1076,30,98
21:16:47,LCD,1,5520,30,98
21:18:19,LCD,1,8884,30,98
21:18:19,LCD,1,5034,30,98
21:18:19,LCD,1,5034,30,98
21:18:19,LCD,1,5034,30,98
21:18:19,LCD,1,5034,30,98
21:18:20,LCD,1,2803,30,98
21:18:21,LCD,1,7979,30,98
21:18:22,LCD,1,4210,30,98
21:18:23,LCD,1,7930,30,98
21:18:24,LCD,1,109,30,98
21:18:25,LCD,1,8380,30,98
