TIME,MODE,SPEED,TEMPERATURE,HUMIDITY,PREDICTED VALUE,REAL VALUE
22:11:33,LCD,1,30,77,6751,6751
22:11:34,LCD,1,30,77,5383,5383
22:11:35,LCD,1,30,77,2025,2025
22:11:37,LCD,1,30,77,5516,5516
22:11:38,LCD,1,30,77,3320,3320
22:11:39,LCD,1,30,77,7443,7443
22:11:40,LCD,1,30,77,3428,3428
22:11:41,LCD,1,30,77,9884,9884
22:11:42,LCD,1,30,77,9613,9613
22:11:43,LCD,1,30,77,7989,7989
22:11:44,LCD,1,30,77,8775,8775
22:11:45,LCD,1,30,77,5494,5494
22:11:46,LCD,1,30,77,4582,4582
22:11:47,LCD,1,30,77,6892,6892
22:11:48,LCD,1,30,77,9546,9546
22:11:49,LCD,1,30,77,8061,8061
22:11:50,LCD,1,30,77,8255,8255
22:11:51,LCD,1,30,77,9303,9303
22:11:53,LCD,1,30,77,2173,2173
22:11:54,LCD,1,30,77,8982,8982
22:11:55,LCD,1,30,77,7985,7985
22:11:56,LCD,1,30,77,6839,6839
22:11:57,LCD,1,30,77,3655,3655
22:11:58,LCD,1,30,77,8666,8666
22:11:59,LCD,1,30,77,9621,9621
22:12:00,LCD,1,30,77,9973,9973
22:12:01,LCD,1,30,77,3846,3846
22:12:02,LCD,1,30,77,6314,6314
22:12:03,LCD,1,30,77,5849,5849
22:12:04,LCD,1,30,77,7894,7894
22:12:05,LCD,1,30,77,8288,8288
22:12:07,LCD,1,30,77,252,252
22:12:08,LCD,1,30,77,9110,9110
22:12:09,LCD,1,30,77,4302,4302
22:12:10,LCD,1,30,77,5790,5790
22:12:11,LCD,1,30,77,24,24
22:12:12,LCD,1,30,77,1876,1876
22:12:13,LCD,1,30,77,4040,4040
22:12:14,LCD,1,30,77,8255,8255
22:12:15,LCD,1,30,77,1586,1586
22:12:16,LCD,1,30,77,9321,9321
22:12:17,LCD,1,30,77,6701,6701
22:12:18,LCD,1,30,77,840,840
22:12:19,LCD,1,30,77,1227,1227
22:12:20,LCD,1,30,77,534,534
22:12:23,LCD,1,30,76,2342,2342
22:12:24,LCD,1,30,76,4890,4890
22:12:25,LCD,1,30,76,7417,7417
22:12:26,LCD,1,30,76,1917,1917
22:12:27,LCD,1,30,76,9547,9547
22:12:28,LCD,1,30,76,4178,4178
22:12:29,LCD,1,30,76,1764,1764
22:12:30,LCD,1,30,76,5241,5241
22:12:31,LCD,1,30,76,6272,6272
22:12:32,LCD,1,30,76,650,650
22:12:33,LCD,1,30,76,2304,2304
22:12:34,LCD,1,30,76,8252,8252
22:12:35,LCD,1,30,76,8072,8072
22:12:36,LCD,1,30,76,4427,4427
22:12:38,LCD,1,30,76,8991,8991
22:12:39,LCD,1,30,76,5863,5863
22:12:40,LCD,1,30,76,9847,9847
22:12:41,LCD,1,30,76,7826,7826
22:12:42,LCD,1,30,76,5353,5353
22:12:43,LCD,1,30,76,6596,6596
22:12:44,LCD,1,30,76,2561,2561
22:12:45,LCD,1,30,76,8028,8028
22:12:46,LCD,1,30,76,6937,6937
22:12:47,LCD,1,30,76,3908,3908
22:12:48,LCD,1,30,76,3294,3294
22:12:49,LCD,1,30,76,1748,1748
22:12:50,LCD,1,30,76,4252,4252
22:12:51,LCD,1,30,76,273,273
22:12:53,LCD,1,30,76,9562,9562
22:12:54,LCD,1,30,76,4939,4939
22:12:55,LCD,1,30,76,2510,2510
22:12:56,LCD,1,30,76,3017,3017
22:12:57,LCD,1,30,76,9198,9198
22:12:58,LCD,1,30,76,8833,8833
22:12:59,LCD,1,30,76,6635,6635
22:13:00,LCD,1,30,76,5188,5188
22:13:01,LCD,1,30,76,9610,9610
22:13:02,LCD,1,30,76,9967,9967
22:13:03,LCD,1,30,76,1549,1549
22:13:04,LCD,1,30,76,7724,7724
22:13:05,LCD,1,30,76,4076,4076
22:13:06,LCD,1,30,76,70,70
22:13:08,LCD,1,30,76,985,985
22:13:09,LCD,1,30,76,8229,8229
22:13:10,LCD,1,30,76,2154,2154
22:13:11,LCD,1,30,76,7656,7656
22:13:12,LCD,1,30,76,4393,4393
22:13:13,LCD,1,30,76,9713,9713
22:13:14,LCD,1,30,76,3908,3908
22:13:15,LCD,1,30,76,608,608
22:13:16,LCD,1,30,76,9074,9074
22:13:17,LCD,1,30,76,7016,7016
22:13:18,LCD,1,30,76,7417,7417
22:13:19,LCD,1,30,76,7229,7229
22:13:20,LCD,1,30,76,1744,1744
22:13:21,LCD,1,30,76,7197,7197
22:13:24,LCD,1,30,75,6241,6241
22:13:25,LCD,1,30,75,5259,5259
22:13:26,LCD,1,30,75,8764,8764
22:13:27,LCD,1,30,75,4338,4338
22:13:28,LCD,1,30,75,1099,1099
22:13:29,LCD,1,30,75,370,370
22:13:30,LCD,1,30,75,5784,5784
22:13:31,LCD,1,30,75,7344,7344
22:13:32,LCD,1,30,75,7566,7566
22:13:33,LCD,1,30,75,6441,6441
22:13:34,LCD,1,30,75,3055,3055
22:13:35,LCD,1,30,75,1904,1904
22:13:36,LCD,1,30,75,8623,8623
22:13:38,LCD,1,30,75,1312,1312
22:13:39,LCD,1,30,75,3341,3341
22:13:40,LCD,1,30,75,146,146
22:13:41,LCD,1,30,75,7046,7046
22:13:42,LCD,1,30,75,8375,8375
22:13:43,LCD,1,30,75,4635,4635
22:13:44,LCD,1,30,75,16,16
22:13:45,LCD,1,30,75,5084,5084
22:13:46,LCD,1,30,75,3379,3379
22:13:47,LCD,1,30,75,8916,8916
22:13:48,LCD,1,30,75,3166,3166
22:13:49,LCD,1,30,75,7963,7963
22:13:50,LCD,1,30,75,9202,9202
22:13:51,LCD,1,30,75,3646,3646
22:13:53,LCD,1,30,75,220,220
22:13:54,LCD,1,30,75,9598,9598
22:13:55,LCD,1,30,75,7337,7337
22:13:56,LCD,1,30,75,8452,8452
22:13:57,LCD,1,30,75,9296,9296
22:13:58,LCD,1,30,75,3001,3001
22:13:59,LCD,1,30,75,2435,2435
22:14:00,LCD,1,30,75,3942,8942
22:14:01,LCD,1,30,75,3764,3764
22:14:02,LCD,1,30,75,3964,3964
22:14:03,LCD,1,30,75,9531,9531
22:14:04,LCD,1,30,75,4082,4082
22:14:05,LCD,1,30,75,4925,4925
22:14:06,LCD,1,30,75,7249,7249
22:14:08,LCD,1,30,75,6006,6006
22:14:09,LCD,1,30,75,9672,9672
22:14:10,LCD,1,30,75,9898,9898
22:14:11,LCD,1,30,75,6075,6075
22:14:12,LCD,1,30,75,554,554
22:14:13,LCD,1,30,75,2508,2508
22:14:14,LCD,1,30,75,3606,3606
22:14:15,LCD,1,30,75,232,232
22:14:16,LCD,1,30,75,3537,3537
22:14:17,LCD,1,30,75,4401,4401
22:14:18,LCD,1,30,75,7019,7019
22:14:19,LCD,1,30,75,8407,8407
22:14:20,LCD,1,30,75,1871,1871
22:14:21,LCD,1,30,75,1769,1769
22:14:23,LCD,1,30,75,8348,8348
22:14:25,LCD,1,30,75,6333,6333
22:14:26,LCD,1,30,75,1346,1346
22:14:27,LCD,1,30,75,2925,2925
22:14:28,LCD,1,30,75,5749,5749
22:14:29,LCD,1,30,75,5788,5788
22:14:30,LCD,1,30,75,7767,7767
22:14:31,LCD,1,30,75,1058,1058
22:14:32,LCD,1,30,75,9812,9812
22:14:33,LCD,1,30,75,1693,1693
22:14:34,LCD,1,30,75,9435,9435
22:14:35,LCD,1,30,75,595,595
22:14:36,LCD,1,30,75,8146,8146
22:14:37,LCD,1,30,75,3373,3373
22:14:39,LCD,1,30,75,5606,5606
22:14:40,LCD,1,30,75,7718,7718
22:14:41,LCD,1,30,75,4735,4735
22:14:42,LCD,1,30,75,7502,7502
22:14:43,LCD,1,30,75,8285,8285
22:14:44,LCD,1,30,75,6060,6060
22:14:45,LCD,1,30,75,9275,9275
22:14:46,LCD,1,30,75,327,327
22:14:47,LCD,1,30,75,2869,2869
22:14:48,LCD,1,30,75,3855,3855
22:14:49,LCD,1,30,75,2867,2867
22:14:50,LCD,1,30,75,6838,6838
22:14:51,LCD,1,30,75,3690,3690
22:14:53,LCD,1,30,75,1694,1694
22:14:54,LCD,1,30,75,1605,1605
22:14:55,LCD,1,30,75,2179,2179
22:14:56,LCD,1,30,75,2706,2706
22:14:57,LCD,1,30,75,3300,3300
22:14:58,LCD,1,30,75,213,213
22:14:59,LCD,1,30,75,494,494
22:15:00,LCD,1,30,75,3294,3294
22:15:01,LCD,1,30,75,1972,1972
22:15:02,LCD,1,30,75,7378,7378
22:15:03,LCD,1,30,75,4538,4538
22:15:04,LCD,1,30,75,520,520
22:15:05,LCD,1,30,75,3893,3893
22:15:06,LCD,1,30,75,5136,5136
22:15:07,LCD,1,30,75,887,887
22:15:09,LCD,1,30,75,1485,1485
22:15:10,LCD,1,30,75,553,553
22:15:11,LCD,1,30,75,5123,5123
22:15:12,LCD,1,30,75,4725,4725
22:15:13,LCD,1,30,75,8782,8782
22:15:14,LCD,1,30,75,7672,7672
22:15:15,LCD,1,30,75,8731,8731
22:15:16,LCD,1,30,75,9014,9014
22:15:17,LCD,1,30,75,5992,5992
22:15:18,LCD,1,30,75,203,203
22:15:19,LCD,1,30,75,2092,2092
22:15:20,LCD,1,30,75,9150,9150
22:15:21,LCD,1,30,75,3444,3444
22:15:22,LCD,1,30,75,6795,6795
22:15:24,LCD,1,30,75,2155,2155
22:15:26,LCD,1,30,75,8568,8568
22:15:27,LCD,1,30,75,124,124
22:15:28,LCD,1,30,75,7970,7970
22:15:29,LCD,1,30,75,3632,3632
22:15:30,LCD,1,30,75,3776,3776
22:15:31,LCD,1,30,75,1197,1197
22:15:32,LCD,1,30,75,5446,5446
22:15:33,LCD,1,30,75,972,972
22:15:34,LCD,1,30,75,1343,1343
22:15:35,LCD,1,30,75,3778,3778
22:15:36,LCD,1,30,75,1759,1759
22:15:37,LCD,1,30,75,9358,9358
22:15:39,LCD,1,30,75,1180,1180
22:15:40,LCD,1,30,75,3845,3845
22:15:41,LCD,1,30,75,4047,4047
22:15:42,LCD,1,30,75,5671,5671
22:15:43,LCD,1,30,75,8615,8615
22:15:44,LCD,1,30,75,6579,6579
22:15:45,LCD,1,30,75,5874,5874
22:15:46,LCD,1,30,75,5018,5018
22:15:47,LCD,1,30,75,4122,4122
22:15:48,LCD,1,30,75,8320,8320
22:15:49,LCD,1,30,75,7533,7533
22:15:50,LCD,1,30,75,2123,2123
22:15:51,LCD,1,30,75,3489,3489
22:15:52,LCD,1,30,75,8097,8097
22:15:54,LCD,1,30,75,602,602
22:15:55,LCD,1,30,75,8066,8066
22:15:56,LCD,1,30,75,8056,8056
22:15:57,LCD,1,30,75,3913,3913
22:15:58,LCD,1,30,75,5439,5439
22:15:59,LCD,1,30,75,8126,8126
22:16:00,LCD,1,30,75,5331,5331
22:16:01,LCD,1,30,75,9200,9200
22:16:02,LCD,1,30,75,7052,7052
22:16:03,LCD,1,30,75,5003,5003
22:16:04,LCD,1,30,75,2196,2196
22:16:05,LCD,1,30,75,2166,2166
22:16:06,LCD,1,30,75,9332,9332
22:16:07,LCD,1,30,75,1908,1908
22:16:09,LCD,1,30,75,9647,9647
22:16:10,LCD,1,30,75,8141,8141
22:16:11,LCD,1,30,75,4892,4892
22:16:12,LCD,1,30,75,1949,1949
22:16:13,LCD,1,30,75,2301,2301
22:16:14,LCD,1,30,75,1030,1030
22:16:15,LCD,1,30,75,1716,1716
22:16:16,LCD,1,30,75,6640,6640
22:16:17,LCD,1,30,75,8548,8548
22:16:18,LCD,1,30,75,6903,6903
22:16:19,LCD,1,30,75,2206,2206
22:16:20,LCD,1,30,75,1636,1636
22:16:21,LCD,1,30,75,1315,1315
22:16:22,LCD,1,30,75,3142,3142
22:16:24,LCD,1,30,75,5761,5761
22:16:25,LCD,1,30,75,5269,5269
22:16:27,LCD,1,30,75,1699,1699
22:16:28,LCD,1,30,75,472,472
22:16:29,LCD,1,30,75,5256,5256
22:16:30,LCD,1,30,75,7961,7961
22:16:31,LCD,1,30,75,347,347
22:16:32,LCD,1,30,75,6178,6178
22:16:33,LCD,1,30,75,6451,6451
22:16:34,LCD,1,30,75,7365,7365
22:16:35,LCD,1,30,75,2726,2726
22:16:36,LCD,1,30,75,5070,5070
22:16:37,LCD,1,30,75,4149,4149
22:16:39,LCD,1,30,75,9295,9295
22:16:40,LCD,1,30,75,5455,5455
22:16:41,LCD,1,30,75,9861,9861
22:16:42,LCD,1,30,75,8061,8061
22:16:43,LCD,1,30,75,9298,9298
22:16:44,LCD,1,30,75,8402,8402
22:16:45,LCD,1,30,75,147,147
22:16:46,LCD,1,30,75,4289,4289
22:16:47,LCD,1,30,75,7207,7207
22:16:48,LCD,1,30,75,6284,6284
22:16:49,LCD,1,30,75,1818,1018
22:16:50,LCD,1,30,75,6463,6463
22:16:51,LCD,1,30,75,1754,1754
22:16:52,LCD,1,30,75,7047,7047
22:16:54,LCD,1,30,75,2441,2441
22:16:55,LCD,1,30,75,2283,2283
22:16:56,LCD,1,30,75,9174,9174
22:16:57,LCD,1,30,75,2205,2205
22:16:58,LCD,1,30,75,6754,6794
22:16:59,LCD,1,30,75,8164,8164
22:17:00,LCD,1,30,75,8293,8293
22:17:01,LCD,1,30,75,3326,3326
22:17:02,LCD,1,30,75,5799,5799
22:17:03,LCD,1,30,75,7630,7630
22:17:04,LCD,1,30,75,666,666
22:17:05,LCD,1,30,75,9356,9356
22:17:06,LCD,1,30,75,5675,5675
22:17:07,LCD,1,30,75,6251,6251
22:17:09,LCD,1,30,75,5312,5312
22:17:10,LCD,1,30,75,3237,3237
22:17:11,LCD,1,30,75,4933,4933
22:17:12,LCD,1,30,75,3125,3125
22:17:13,LCD,1,30,75,3395,3395
22:17:14,LCD,1,30,75,9928,9928
22:17:15,LCD,1,30,75,2575,2575
22:17:16,LCD,1,30,75,8153,8153
22:17:17,LCD,1,30,75,7581,7581
22:17:18,LCD,1,30,75,273,273
22:17:19,LCD,1,30,75,6791,6791
22:17:20,LCD,1,30,75,9860,9860
22:17:21,LCD,1,30,75,5166,5166
22:17:22,LCD,1,30,75,8346,8346
22:17:24,LCD,1,30,75,2236,2236
22:17:25,LCD,1,30,75,6751,6751
22:17:26,LCD,1,30,75,6043,6043
22:17:28,LCD,1,30,75,3105,3105
22:17:29,LCD,1,30,75,6845,6845
22:17:30,LCD,1,30,75,8380,8380
22:17:31,LCD,1,30,75,6969,6969
22:17:32,LCD,1,30,75,703,703
22:17:33,LCD,1,30,75,6654,6654
22:17:34,LCD,1,30,75,4668,4668
22:17:35,LCD,1,30,75,9297,9297
22:17:36,LCD,1,30,75,9543,9543
22:17:37,LCD,1,30,75,3273,3273
22:17:39,LCD,1,30,75,8936,8936
22:17:40,LCD,1,30,75,3460,3460
22:17:41,LCD,1,30,75,6420,6420
22:17:42,LCD,1,30,75,6287,6287
22:17:43,LCD,1,30,75,6665,6665
22:17:44,LCD,1,30,75,2864,2864
22:17:45,LCD,1,30,75,6186,6186
22:17:46,LCD,1,30,75,9142,9142
22:17:47,LCD,1,30,75,8624,8624
22:17:48,LCD,1,30,75,955,955
22:17:49,LCD,1,30,75,3883,3883
22:17:50,LCD,1,30,75,9116,9116
22:17:51,LCD,1,30,75,2830,2830
22:17:52,LCD,1,30,75,7759,7759
22:17:54,LCD,1,30,75,6356,6356
22:17:54,LCD,0.5,30,75,5913,5913
22:17:55,LCD,0.5,30,75,156,156
22:17:55,LCD,0.5,30,75,2046,2046
22:17:56,LCD,0.5,30,75,9828,9828
22:17:57,LCD,0.5,30,75,5712,5712
22:17:57,LCD,0.5,30,75,4646,4646
22:17:58,LCD,0.5,30,75,5393,5393
22:17:58,LCD,0.5,30,75,3916,3916
22:17:59,LCD,0.5,30,75,1205,1205
22:17:59,LCD,0.5,30,75,8019,8019
22:18:00,LCD,0.5,30,75,8771,8771
22:18:01,LCD,0.5,30,75,1226,1226
22:18:01,LCD,0.5,30,75,2399,2399
22:18:02,LCD,0.5,30,75,8590,8590
22:18:02,LCD,0.5,30,75,386,386
22:18:03,LCD,0.5,30,75,5049,5049
22:18:03,LCD,0.5,30,75,3161,3161
22:18:04,LCD,0.5,30,75,6599,6599
22:18:05,LCD,0.5,30,75,9221,9221
22:18:05,LCD,0.5,30,75,3907,3907
22:18:06,LCD,0.5,30,75,7276,7276
22:18:06,LCD,0.5,30,75,8160,8160
22:18:07,LCD,0.5,30,75,3041,3041
22:18:07,LCD,0.5,30,75,2831,2831
22:18:08,LCD,0.5,30,75,9452,9452
22:18:09,LCD,0.5,30,75,428,428
22:18:09,LCD,0.5,30,75,7866,7866
22:18:10,LCD,0.5,30,75,1082,1082
22:18:10,LCD,0.5,30,75,1833,1833
22:18:11,LCD,0.5,30,75,3431,3431
22:18:11,LCD,0.5,30,75,2251,2251
22:18:12,LCD,0.5,30,75,5205,5205
22:18:13,LCD,0.5,30,75,1055,1055
22:18:13,LCD,0.5,30,75,3895,3895
22:18:14,LCD,0.5,30,75,1062,1062
22:18:14,LCD,0.5,30,75,3216,3216
22:18:15,LCD,0.5,30,75,3330,3330
22:18:15,LCD,0.5,30,75,3501,3501
22:18:16,LCD,0.5,30,75,1092,1092
22:18:17,LCD,0.5,30,75,5288,5288
22:18:17,LCD,0.5,30,75,2724,2724
22:18:18,LCD,0.5,30,75,7197,7197
22:18:18,LCD,0.5,30,75,4091,4091
22:18:19,LCD,0.5,30,75,2727,2727
22:18:19,LCD,0.5,30,75,1893,1893
22:18:20,LCD,0.5,30,75,3793,3793
22:18:21,LCD,0.5,30,75,352,352
22:18:21,LCD,0.5,30,75,2716,2716
22:18:22,LCD,0.5,30,75,3255,3255
22:18:22,LCD,0.5,30,75,8915,8915
22:18:23,LCD,0.5,30,75,1841,1841
22:18:23,LCD,0.5,30,75,1125,1125
22:18:24,LCD,0.5,30,75,3746,3746
22:18:25,LCD,0.5,30,75,9613,9613
22:18:25,LCD,0.5,30,75,848,848
22:18:26,LCD,0.5,30,75,1461,1461
22:18:27,LCD,0.5,30,75,709,709
22:18:28,LCD,0.5,30,75,6279,6279
22:18:28,LCD,0.5,30,75,9071,9071
22:18:29,LCD,0.5,30,75,3164,3164
22:18:30,LCD,0.5,30,75,4995,4995
22:18:30,LCD,0.5,30,75,1790,1790
22:18:31,LCD,0.5,30,75,975,975
22:18:31,LCD,0.5,30,75,3627,3627
22:18:32,LCD,0.5,30,75,341,341
22:18:32,LCD,0.5,30,75,7992,7992
22:18:33,LCD,0.5,30,75,9941,9941
22:18:34,LCD,0.5,30,75,533,533
22:18:34,LCD,0.5,30,75,4308,4308
22:18:35,LCD,0.5,30,75,7117,7117
22:18:35,LCD,0.5,30,75,9335,9335
22:18:36,LCD,0.5,30,75,3417,3417
22:18:36,LCD,0.5,30,75,8378,8378
22:18:37,LCD,0.5,30,75,2725,2725
22:18:38,LCD,0.5,30,75,6078,6078
22:18:38,LCD,0.5,30,75,6516,6516
22:18:39,LCD,0.5,30,75,182,182
22:18:39,LCD,0.5,30,75,3464,3464
22:18:40,LCD,0.5,30,75,5683,5683
22:18:40,LCD,0.5,30,75,7633,7633
22:18:41,LCD,0.5,30,75,9946,9946
22:18:42,LCD,0.5,30,75,7188,7188
22:18:42,LCD,0.5,30,75,9166,9166
22:18:43,LCD,0.5,30,75,1548,1548
22:18:43,LCD,0.5,30,75,2691,2691
22:18:44,LCD,0.5,30,75,2629,2629
22:18:44,LCD,0.5,30,75,7747,7747
22:18:45,LCD,0.5,30,75,4549,4549
22:18:46,LCD,0.5,30,75,2489,2489
22:18:46,LCD,0.5,30,75,4930,4930
22:18:47,LCD,0.5,30,75,7347,7347
22:18:47,LCD,0.5,30,75,8183,8183
22:18:48,LCD,0.5,30,75,4995,4995
22:18:48,LCD,0.5,30,75,7821,7821
22:18:49,LCD,0.5,30,75,3128,3128
22:18:50,LCD,0.5,30,75,7793,7793
22:18:50,LCD,0.5,30,75,4830,4830
22:18:51,LCD,0.5,30,75,4265,4265
22:18:51,LCD,0.5,30,75,4252,4252
22:18:52,LCD,0.5,30,75,8217,8217
22:18:52,LCD,0.5,30,75,7178,7178
22:18:53,LCD,0.5,30,75,4778,4778
22:18:54,LCD,0.5,30,75,2751,2751
22:18:54,LCD,0.5,30,75,524,524
22:18:55,LCD,0.5,30,75,214,214
22:18:55,LCD,0.5,30,75,4866,4866
22:18:56,LCD,0.5,30,75,5395,5395
22:18:56,LCD,0.5,30,75,8528,8528
22:18:57,LCD,0.5,30,75,2091,2091
22:18:58,LCD,0.5,30,75,9943,9943
22:18:58,LCD,0.5,30,75,1346,1346
22:18:59,LCD,0.5,30,75,2439,2439
22:18:59,LCD,0.5,30,75,9432,9432
22:19:00,LCD,0.5,30,75,8690,8690
22:19:00,LCD,0.5,30,75,9302,9302
22:19:01,LCD,0.5,30,75,496,496
22:19:02,LCD,0.5,30,75,9970,9970
22:19:02,LCD,0.5,30,75,981,981
22:19:03,LCD,0.5,30,75,3964,3964
22:19:03,LCD,0.5,30,75,7902,7902
22:19:04,LCD,0.5,30,75,1125,1125
22:19:04,LCD,0.5,30,75,6642,6642
22:19:05,LCD,0.5,30,75,2673,2673
22:19:06,LCD,0.5,30,75,1431,1431
22:19:06,LCD,0.5,30,75,3156,3156
