TIME,MODE,SPEED,TEMPERATURE,HUMIDITY,PREDICTED VALUE,REAL VALUE
16:28:52,LCD,1,31,93,9998,1446
16:28:52,LCD,1,31,93,1172,2746
16:28:52,LCD,1,31,93,1172,5353
16:28:52,LCD,1,31,93,1172,5487
16:28:52,LCD,1,31,93,1172,7999
16:28:52,LCD,1,31,93,1172,9766
16:28:52,LCD,1,31,93,1172,9998
16:28:52,LCD,1,31,93,1172,1172
16:28:53,LCD,1,31,93,335,335
16:28:54,LCD,1,31,93,1371,1371
16:28:55,LCD,1,31,93,645,645
16:28:57,LCD,1,31,93,9584,9584
16:28:58,LCD,1,31,93,5734,5734
16:28:59,LCD,1,31,93,9005,9005
16:29:00,LCD,1,31,93,4978,4978
16:29:01,LCD,1,31,93,5884,5884
16:29:02,LCD,1,31,93,1318,1318
16:29:03,LCD,1,31,93,9890,9890
16:29:04,LCD,1,31,93,4557,4557
16:29:05,LCD,1,31,93,4314,4314
16:29:06,LCD,1,31,93,7541,7541
16:29:07,LCD,1,31,93,7278,7278
16:29:08,LCD,1,31,93,4337,4337
16:29:09,LCD,1,31,93,4756,4756
16:29:11,LCD,1,31,93,8983,8983
16:29:12,LCD,1,31,93,4579,4579
16:29:13,LCD,1,31,93,251,2951
16:29:14,LCD,1,31,93,7827,7827
16:29:15,LCD,1,31,93,03,903
16:29:16,LCD,1,31,93,19,919
16:29:17,LCD,1,31,93,2376,2376
16:29:18,LCD,1,31,93,8676,8676
16:29:19,LCD,1,31,93,2676,2676
16:29:20,LCD,1,31,93,7510,7510
16:29:21,LCD,1,31,93,1052,1052
16:29:22,LCD,1,31,93,1411,1411
16:29:23,LCD,1,31,93,672,672
16:29:24,LCD,1,31,93,8865,8865
16:29:26,LCD,1,31,93,8823,8823
16:29:27,LCD,1,31,93,276,276
16:29:28,LCD,1,31,93,2865,2865
16:29:29,LCD,1,31,93,5721,5721
16:29:30,LCD,1,31,93,556,556
16:29:31,LCD,1,31,93,6945,6945
16:29:32,LCD,1,31,93,5781,5781
16:29:33,LCD,1,31,93,300,300
16:29:34,LCD,1,31,93,6358,6358
16:29:35,LCD,1,31,93,7774,7774
16:29:36,LCD,1,31,93,7856,7856
16:29:37,LCD,1,31,93,1759,1759
16:29:38,LCD,1,31,93,428,428
16:29:39,LCD,1,31,93,2354,2354
