TIME,MODE,SPEED,TEMPERATURE,HUMIDITY,PREDICTED VALUE,REAL VALUE
10:45:07,LCD,1,30,98,8,6016
10:45:12,LCD,1,30,98,9,9082
10:46:04,LCD,1,31,98,645,645
10:46:06,LCD,1,31,98,999,5734
10:46:07,LCD,1,31,98,905,9005
10:46:08,LCD,1,31,98,4978,4978
10:46:09,LCD,1,31,98,5884,5884
10:46:10,LCD,1,31,98,1318,1318
10:46:11,LCD,1,31,98,99,9890
10:46:13,LCD,1,31,98,1314,4314
10:46:14,LCD,1,31,98,7541,7541
10:46:15,LCD,1,31,98,72,7278
10:46:17,LCD,1,31,98,1337,4337
10:46:18,LCD,1,31,98,156,4756
10:46:19,LCD,1,31,98,983,8983
10:46:20,LCD,1,31,98,1579,4579
10:46:21,LCD,1,31,98,2951,2951
10:46:22,LCD,1,31,98,82,7827
10:46:23,LCD,1,31,98,903,903
10:46:24,LCD,1,31,98,919,919
10:46:25,LCD,1,31,98,2376,2376
10:46:26,LCD,1,31,98,676,8676
10:46:27,LCD,1,31,98,266,2676
10:46:28,LCD,1,31,98,510,7510
10:46:29,LCD,1,31,98,152,1052
10:46:30,LCD,1,31,98,411,1411
10:46:32,LCD,1,31,98,672,672
10:46:33,LCD,1,31,98,65,8865
10:46:34,LCD,1,31,98,23,8823
10:46:35,LCD,1,31,98,276,276
10:46:36,LCD,1,31,98,65,2865
10:46:37,LCD,1,31,98,721,5721
10:46:38,LCD,1,31,98,556,556
10:46:39,LCD,1,31,98,945,6945
10:46:41,LCD,1,31,98,300,300
10:46:42,LCD,1,31,98,5358,6358
10:46:43,LCD,1,31,98,74,7774
10:46:44,LCD,1,31,98,56,7856
10:46:46,LCD,1,31,98,59,1759
10:46:51,LCD,1,31,98,61,1161
10:46:54,LCD,1,31,98,6,9056
10:46:55,LCD,1,31,98,0,900
10:47:04,LCD,1,31,98,91,1431
10:47:06,LCD,1,31,98,59,9594
10:47:09,LCD,1,31,98,85,1857
10:49:09,LCD,1,31,98,335,3375
10:49:10,LCD,1,31,98,2427,2427
10:49:11,LCD,1,31,98,7307,7307
