                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.63695,                0.61046,                0.93492,                0.99076,                0.99643,                0.98989,                0.89636,                0.45867,                0.30987,                0.79957,             0.00023334,             0.00023334,             0.00023334
                     37,                0.62238,                 0.5807,                0.92555,                0.99356,                0.99643,                0.99002,                0.89661,                0.46488,                0.30695,                0.80112,              0.0002192,              0.0002192,              0.0002192
                     38,                0.61949,                0.58257,                0.92626,                0.99055,                0.99643,                 0.9901,                0.89985,                0.45169,                0.30364,                0.79701,             0.00020506,             0.00020506,             0.00020506
                     39,                0.61598,                0.59377,                0.92349,                0.99301,                0.99643,                0.99002,                0.89056,                0.47561,                0.30708,                0.80282,             0.00019092,             0.00019092,             0.00019092
                     40,                0.59914,                0.58158,                 0.9204,                0.99251,                0.99643,                0.99052,                0.89705,                0.44986,                0.29762,                0.79701,             0.00017679,             0.00017679,             0.00017679
                     41,                0.56114,                0.39353,                0.90721,                0.99375,                0.99643,                0.99039,                0.88874,                0.46718,                0.30554,                0.80041,             0.00016265,             0.00016265,             0.00016265
                     42,                0.57074,                0.38872,                0.91286,                0.99224,                0.99643,                0.99021,                0.89769,                0.45838,                0.30502,                0.79948,             0.00014851,             0.00014851,             0.00014851
                     43,                 0.5508,                0.37935,                0.89436,                 0.9944,                0.99562,                0.98986,                 0.8978,                0.45411,                0.29677,                0.79789,             0.00013437,             0.00013437,             0.00013437
                     44,                0.53769,                0.37711,                  0.899,                0.99288,                0.99643,                 0.9901,                0.90255,                0.44784,                0.29691,                0.79711,             0.00012024,             0.00012024,             0.00012024
                     45,                0.52319,                 0.3666,                0.88569,                0.99334,                0.99579,                0.98976,                0.90442,                0.44221,                 0.2874,                0.79624,              0.0001061,              0.0001061,              0.0001061
                     46,                0.52259,                0.36277,                 0.8908,                0.99409,                0.99545,                0.98977,                0.90332,                0.44994,                0.28978,                0.79624,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     47,                0.51972,                0.35544,                0.88576,                0.99384,                0.99643,                0.99005,                0.90474,                0.43697,                0.28372,                 0.7937,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     48,                0.50762,                0.35087,                0.87795,                 0.9941,                0.99643,                0.99008,                0.90259,                0.43933,                0.28328,                0.79366,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     49,                0.50155,                0.35669,                0.87647,                 0.9941,                0.99643,                0.98988,                0.90552,                0.43861,                0.27808,                0.79229,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     50,                0.49772,                 0.3505,                0.87341,                0.99428,                0.99643,                0.98985,                0.90201,                0.44063,                0.27922,                0.79331,             3.5414e-05,             3.5414e-05,             3.5414e-05
