                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.89943,                 0.6928,                0.96688,                0.99627,                0.99993,                  0.995,                0.83773,                0.66403,                0.37055,                0.84412,             0.00023334,             0.00023334,             0.00023334
                     37,                0.87927,                 0.6799,                0.96512,                0.99667,                0.99854,                  0.995,                0.83524,                0.65389,                0.36863,                0.84156,              0.0002192,              0.0002192,              0.0002192
                     38,                0.88259,                0.69051,                0.96398,                0.99661,                0.99942,                  0.995,                0.83446,                0.67172,                0.36334,                0.84692,             0.00020506,             0.00020506,             0.00020506
                     39,                0.86002,                0.67059,                0.95598,                0.99761,                0.99945,                  0.995,                0.83576,                 0.6503,                0.36382,                0.84007,             0.00019092,             0.00019092,             0.00019092
                     40,                0.86319,                0.68622,                0.96138,                0.99631,                      1,                  0.995,                0.84099,                0.64959,                0.35803,                0.83921,             0.00017679,             0.00017679,             0.00017679
                     41,                0.82743,                0.52928,                 0.9706,                0.99735,                      1,                  0.995,                0.82871,                0.67603,                0.36818,                0.84144,             0.00016265,             0.00016265,             0.00016265
                     42,                0.81257,                 0.5194,                0.96934,                0.99745,                      1,                  0.995,                0.82864,                0.67515,                0.35904,                0.84244,             0.00014851,             0.00014851,             0.00014851
                     43,                0.80168,                0.51219,                 0.9604,                0.99705,                0.99957,                  0.995,                0.83995,                 0.6518,                0.35139,                 0.8395,             0.00013437,             0.00013437,             0.00013437
                     44,                0.79287,                0.50258,                0.95822,                  0.997,                      1,                  0.995,                0.83626,                0.65319,                0.35051,                 0.8381,             0.00012024,             0.00012024,             0.00012024
                     45,                0.78257,                0.50645,                0.95582,                0.99717,                0.99971,                  0.995,                0.84015,                0.65347,                0.35461,                 0.8377,              0.0001061,              0.0001061,              0.0001061
                     46,                0.74538,                0.48512,                0.92732,                0.99695,                      1,                  0.995,                0.84166,                0.64348,                0.34615,                0.83759,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     47,                0.75336,                0.48652,                0.93399,                0.99809,                      1,                  0.995,                0.84084,                0.64765,                0.34951,                0.83758,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     48,                0.74301,                0.48925,                0.93378,                0.99801,                      1,                  0.995,                 0.8445,                0.63778,                0.33781,                0.83732,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     49,                0.73613,                0.48234,                0.93139,                 0.9982,                      1,                  0.995,                 0.8446,                0.63663,                0.33661,                0.83612,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     50,                0.72618,                 0.4768,                0.92575,                0.99802,                      1,                  0.995,                0.84381,                0.63668,                0.33473,                0.83552,             3.5414e-05,             3.5414e-05,             3.5414e-05
